source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Yahoo Entertainment'}",Unknown,"India's Tata Consultancy Services plans up to 8,900 AI deployment engineers, seeks AI acquisitions",No description,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_f33bffc2-ffd6-4bdc-9f4e-5ac52934785d,No Image,2026-07-12 08:36:49+00:00,"If you click 'Accept all', we and our partners, including 249 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]"
"{'id': None, 'name': 'Servernews.ru'}",Unknown,"Microsoft, Google, Amazon и Oracle попали под пристальный надзор британских регуляторов","Со следующей недели Microsoft, Google, Amazon и Oracle будут находиться под прямым надзором британских регуляторов после того, как Министерство финансов признало четыре крупнейшие американские технологические группы критически важными поставщиками услуг для б…",https://servernews.ru/1144936,https://cdn.3dnews.ru/assets/external/illustrations/2026/07/10/1144936/sm.chanel-chomse-OVKmcoviT5c-unsplash.800.jpg,2026-07-10 20:41:00+00:00,"Microsoft, Google, Amazon Oracle , . , « » , « ».
, . « , , , , », — , , Reuters.
 13 Microsoft Ireland Operations Ltd, Google Cloud EMEA Ltd, Amazon Web Services EMEA SARL Oracle Corporation UK Lt… [+366 chars]"
"{'id': None, 'name': '3dnews.ru'}",Unknown,Microsoft по примеру конкурентов начала устанавливать серверные системы AMD Helios в своей облачной инфраструктуре Azure,"Компания Nvidia уже давно при поддержке своих подрядчиков поставляет клиентам готовые серверные системы, поэтому у конкурирующей AMD не оставалось иного выбора, кроме как последовать её примеру с системами семейства Helios. К числу покупателей этих систем нед…",https://3dnews.ru/1145429/microsoft-po-primeru-konkurentov-nachala-ustanavlivat-servernie-sistemi-amd-helios-v-svoey-oblachnoy-infrastrukture-azure,https://cdn.3dnews.ru/assets/external/illustrations/2026/07/21/1145429/helios_01.jpg,2026-07-21 04:01:00+00:00,"Nvidia , AMD , Helios. Microsoft Meta, OpenAI Oracle.
: AMD
Helios AMD , CNBC. - Microsoft (Satya Nadella): « Azure AMD Helios, , , -». Microsoft Helios , Azure. EPYC Venice, , .
AMD , . Instinct.… [+296 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Ranjit Shinde,India's IT giants grapple with weak growth despite resilient deal momentum,"Infosys reported results below expectations, impacting its stock performance negatively.  Other major IT companies also showed weak revenue growth in dollar terms.  AI-driven sales are gaining traction, though still on a small base.  Profitability varied acro…",https://economictimes.indiatimes.com/markets/stocks/earnings/indias-it-giants-grapple-with-weak-growth-despite-resilient-deal-momentum/articleshow/132594084.cms,"https://img.etimg.com/thumb/msid-132594055,width-1200,height-630,imgsize-26662,overlay-etmarkets/articleshow.jpg",2026-07-24 00:04:59+00:00,ET Intelligence Group: The performance of Infosys in the June quarter was marginally below expectations on both revenue and profit fronts in terms of dollar as well as rupee terms. The company also l… [+2258 chars]
"{'id': None, 'name': 'Overclockers.ru'}",Nacvark,Индийская компания Tata Consultancy Services наймёт почти 9 тысяч специалистов по внедрению ИИ,Компания также рассматривает поглощение ИИ-стартапов,https://overclockers.ru/blog/Nacvark/show/259587/Indijskaya-kompaniya-Tata-Consultancy-Services-najmet-pochti-9-tysyach-specialistov-po-vnedreniju-II,https://overclockers.ru/st/r/1200/-/legacy/blog/397747/740469_O.png,2026-07-13 00:40:19+00:00,"IT- Tata Consultancy Services (TCS), IT- , (). 8,9 , - . - , . : Reuters 
 URL . , . TCS , .
 TCS , , . - .
 , IT-, TCS . , , , -."
"{'id': None, 'name': 'CNA'}",Unknown,"India's Tata Consultancy Services plans up to 8,900 AI deployment engineers, seeks AI acquisitions","BENGALURU, July 12 : Tata Consultancy Services is building a team of up to 8,900 forward-deployed engineers and hunting for AI acquisitions as it bets artificial intelligence will create new business rather than undermine outsourcing, two TCS executives told …",https://www.channelnewsasia.com/business/indias-tata-consultancy-services-plans-up-8900-ai-deployment-engineers-seeks-ai-acquisitions-6249086,"https://dam.mediacorp.sg/image/upload/s--LvT8R6YC--/c_fill,g_auto,h_676,w_1200/fl_relative,g_south_east,l_mediacorp:cna:watermark:2024-04:reuters_1,w_0.1/f_auto,q_auto/v1/one-cms/core/2026-07-12T083649Z_1_LYNXMPEM6B06M_RTROPTP_3_TCS-STOCKS.JPG?itok=d5FRuM7K",2026-07-12 08:36:49+00:00,"BENGALURU, July 12 : Tata Consultancy Services is building a team of up to 8,900 forward-deployed engineers and hunting for AI acquisitions as it bets artificial intelligence will create new business… [+2546 chars]"
"{'id': None, 'name': 'Www.nrc.nl'}",Daan van Lent,"‘Veel van onze klanten hebben nog geen idee hoe ze hun bedrijf met AI kunnen laten groeien’, zegt de baas van deze softwarereus","Krithi Krithivasan | ceo Tata Consultancy Services: Zijn ict- en softwareconcerns slachtoffer van de razendsnelle opkomst van AI? Veel beleggers vrezen dat hun bedrijfsvoering bedreigd wordt, wat dit jaar al neersloeg in beurskoersdalingen van 30 procent of m…",https://www.nrc.nl/nieuws/2026/07/17/veel-van-onze-klanten-hebben-nog-geen-idee-hoe-ze-hun-bedrijf-met-ai-kunnen-laten-groeien-zegt-de-baas-van-deze-softwarereus-a4931898,https://images.nrc.nl/IZQm3ZMq5v0aETtvUxNpwG4-R7k=/1200x627/smart/filters:no_upscale()/s3/static.nrc.nl/wp-content/uploads/2026/07/06152245/080726ECO_2034439591_Krithivasan.jpg,2026-07-17 17:08:13+00:00,Voorafgaand aan het gesprek met topman Krithi Krithivasan (61) moet eerst even een snelle rondleiding worden gegeven over de etage die Tata Consultancy Services huurt in de Symphonytoren aan de Amste… [+8308 chars]
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Bloomberg,Global investors looking for shelter from AI storm are turning to India,"Indian stocks are emerging as a stable investment amid global market volatility, particularly as the AI rally cools. While previously overlooked due to a lack of AI exposure, India's market is now attracting investors seeking a safe haven. Recent outperforman…",https://economictimes.indiatimes.com/markets/us-stocks/news/global-investors-looking-for-shelter-from-ai-storm-are-turning-to-india/articleshow/132204974.cms,"https://img.etimg.com/thumb/msid-132204968,width-1200,height-630,imgsize-137600,overlay-etmarkets/articleshow.jpg",2026-07-06 00:15:29+00:00,"After losing out big on the global AI rally, Indian equities are regaining the attention of investors seeking to weather the latest market turbulence. With the AI frenzy roiling benchmark gauges from… [+3607 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Jagmeet Singh,"Anthropic starts localizing Claude pricing for India, its biggest market after the US",Claude users in India are starting to see Indian rupee-denominated subscription plans.,https://finance.yahoo.com/technology/ai/articles/anthropic-starts-localizing-claude-pricing-153459202.html,https://s.yimg.com/lo/mysterio/api/4E67DB8FD2B1A2C99AD3C5C52C7C1D375F358A298406802F7C10F0C2C5CF61F9/subgraphmysterio/resizefill_w1200_h798;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2Ftechcrunch_finance_785%2F80585fe4e08de26c5b78d40e124aa53f,2026-07-13 15:34:59+00:00,"Anthropic has started localizing Claude's pricing in India, its biggest market outside the U.S., as global AI companies increasingly tailor their offerings to win users in the world's most populous n… [+2401 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Haripriya Suresh and Bharath Rajeswaran,"Indian IT firms face muted Q1 as AI shift, weak demand weigh","India's top information technology companies are expected to report another subdued quarter, as AI-driven pricing pressure, weak client spending, and ‌global...",https://finance.yahoo.com/technology/articles/indian-firms-face-muted-q1-094537453.html,https://s.yimg.com/lo/mysterio/api/73D57E1A74B967C51B985EF2A536AF9AA12735B7407EA3E1462F6E5521445D46/subgraphmysterio/resizefill_w1200_h768;quality_80;format_webp/https:%2F%2Fmedia.zenfs.com%2Fen%2Freuters-finance.com%2Faf79043cf8969cf11c89613feb083ef8,2026-07-06 09:45:37+00:00,"By Haripriya Suresh and Bharath Rajeswaran
BENGALURU, July 6 (Reuters) - India's top information technology companies are expected to report another subdued quarter, as AI-driven pricing pressure, w… [+2500 chars]"
